"Codice Ruolo","Descrizione Ruolo","Dipartimento di riferimento","SSD","Sett Conc Gsd","Numero Docenti"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","STAT-01/A","13/STAT-01","3"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","STAT-04/A","13/STAT-04","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","ANGL-01/A","10/ANGL-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","ANGL-01/B","10/ANGL-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","ANGL-01/C","10/ANGL-01","2"
"PA","Professori Associati","Dipartimento di Studi Umanistici","ARCH-01/E","10/ARCH-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","ARTE-01/B","10/ARTE-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","COMP-01/A","10/COMP-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","FRAN-01/B","10/FRAN-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","GEOG-01/A","11/GEOG-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","GLOT-01/A","10/GLOT-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","GLOT-01/B","10/GLOT-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","GSPS-03/A","14/GSPS-03","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","HIST-02/A","11/HIST-02","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","HIST-03/A","11/HIST-03","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","HIST-04/C","11/HIST-04","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","ITAL-01/A","10/ITAL-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","LATI-01/A","10/LATI-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","LIFI-01/A","10/LIFI-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","PHIL-01/A","11/PHIL-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","PHIL-05/B","11/PHIL-05","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","SDEA-01/A","11/SDEA-01","1"
"PA","Professori Associati","Dipartimento di Studi Umanistici","SPAN-01/A","10/SPAN-01","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","ARTE-01/B","10/ARTE-01","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-06/A","05/BIOS-06","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-14/A","05/BIOS-14","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-15/A","05/BIOS-15","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","CHEM-01/A","03/CHEM-01","2"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","CHEM-02/A","03/CHEM-02","2"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","CHEM-03/A","03/CHEM-03","2"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","ECON-02/A","13/ECON-02","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","ECON-06/A","13/ECON-06","2"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","GEOG-01/B","11/GEOG-01","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","GIUR-01/A","12/GIUR-01","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","GIUR-10/A","12/GIUR-10","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","GIUR-14/A","12/GIUR-14","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","GIUR-16/A","12/GIUR-16","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","MATH-01/B","01/MATH-01","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","MATH-03/A","01/MATH-03","1"
"PA","Professori Associati","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","MEDS-23/A","06/MEDS-23","1"
"PD","Prof.Straordinari Tempo det. L. 230/2005","Dipartimento di Medicina Traslazionale","MEDS-05/A","06/MEDS-05","1"
"PD","Prof.Straordinari Tempo det. L. 230/2005","Dipartimento di Medicina Traslazionale","MEDS-12/A","06/MEDS-12","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","ECON-02/A","13/ECON-02","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","ECON-03/A","13/ECON-03","2"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-02/A","12/GIUR-02","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-04/A","12/GIUR-04","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-05/A","12/GIUR-05","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-06/A","12/GIUR-06","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-07/A","12/GIUR-07","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-11/A","12/GIUR-11","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-12/A","12/GIUR-12","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-17/A","12/GIUR-17","2"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GSPS-03/A","14/GSPS-03","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GSPS-03/B","14/GSPS-03","1"
"PO","Professori Ordinari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","STAT-02/A","13/STAT-02","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","BIOS-07/A","05/BIOS-07","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-03/A","06/MEDS-03","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-05/A","06/MEDS-05","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-07/B","06/MEDS-07","1"
