"Anno","DescrizIone Corso di studio","Tipologia","Codice Classe","Descrizione Classe","Sede","Durata","Dipartimento di riferimento","Erogazione","Accesso","Lingua","URL"
"","Economia aziendale","Laurea","L-18","Scienze dell'economia e della gestione aziendale","ALESSANDRIA","3","DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA","Convenzionale","Nessuna Programmazione","italiano","https://disei.uniupo.it/it/didattica/corsi-di-laurea/economia-aziendale-clea-2425"
"","Economia e Management","Laurea magistrale","LM-56","Scienze dell'economia","ALESSANDRIA","2","DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI","Convenzionale","Nessuna Programmazione","italiano","https://digspes.uniupo.it/it/didattica/corsi-di-laurea/economia-management-2425"
"","Educazione professionale (abilitante alla professione sanitaria di Educatore professionale)","Laurea","L/SNT2","Professioni sanitarie della riabilitazione","ALESSANDRIA","3","DIPARTIMENTO DI MEDICINA TRASLAZIONALE","Convenzionale","Nessuna Programmazione","italiano","https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea"
"","Farmacia","Laurea magistrale a ciclo unico 5","LM-13.","Farmacia e farmacia industriale","NOVARA","5","DIPARTIMENTO DI SCIENZE DEL FARMACO","Convenzionale","Programmazione Locale","italiano","https://dsf.uniupo.it/it/didattica/corsi-di-laurea"
"","Filologia moderna, classica e comparata","Laurea magistrale","LM-14","Filologia moderna","VERCELLI","2","DIPARTIMENTO DI STUDI UMANISTICI","Convenzionale","Nessuna programmazione","italiano","https://disum.uniupo.it/it/didattica/corsi-di-laurea/filologia-moderna-classica-comparata-laurea-binazionale-aa2425"
"","Filosofia e Comunicazione","Laurea","L-5","Filosofia","VERCELLI","3","DIPARTIMENTO DI STUDI UMANISTICI","Convenzionale","Nessuna programmazione","italiano","https://disum.uniupo.it/it/didattica/corsi-di-laurea/filosofia-comunicazione-aa2425"
"","Filosofia, politica e studi culturali","Laurea magistrale","LM-78 Scienze filosofiche & LM-62 Scienze della politica","Scienze filosofiche","VERCELLI","2","DIPARTIMENTO DI STUDI UMANISTICI","Convenzionale","Nessuna programmazione","italiano","https://disum.uniupo.it/it/didattica/corsi-di-laurea/filosofia-politica-studi-culturali-aa2425"
"","Fisica Applicata","Laurea","L-30","Scienze e tecnologie fisiche","VERCELLI","3","DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA","Convenzionale","Nessuna programmazione","italiano","https://disit.uniupo.it/it/didattica/corsi-di-laurea/fisica-applicata-2024-2025"
"","Fisioterapia (abilitante alla professione sanitaria di Fisioterapista)","Laurea","L/SNT2","Professioni sanitarie della riabilitazione","NOVARA","3","DIPARTIMENTO DI SCIENZE DELLA SALUTE","Convenzionale","Programmazione Nazionale","italiano","https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea"
"","Fisioterapia (abilitante alla professione sanitaria di Fisioterapista)","Laurea","L/SNT2","Professioni sanitarie della riabilitazione","ALESSANDRIA","3","DIPARTIMENTO DI SCIENZE DELLA SALUTE","Convenzionale","Programmazione Nazionale","italiano","https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea"
"","Fisioterapia (abilitante alla professione sanitaria di Fisioterapista)","Laurea","L/SNT2","Professioni sanitarie della riabilitazione","FOSSANO","3","DIPARTIMENTO DI SCIENZE DELLA SALUTE","Convenzionale","Programmazione Nazionale","italiano","https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea"
"","Food Health and Environment","Laurea magistrale","LM-6","Biologia","VERCELLI","2","DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA","Convenzionale","Nessuna Programmazione","inglese","https://disste.uniupo.it/en/university-studies/course/food-health-environment-ay-2425"
"","Gestione Ambientale e Sviluppo Sostenibile","Laurea","L-32","Scienze e tecnologie per l'ambiente e la natura","VERCELLI","3","DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA","Convenzionale","Nessuna Programmazione","italiano","https://disste.uniupo.it/it/didattica/corsi-di-laurea/gestione-ambientale-sviluppo-sostenibile-gass-aa2425"
