"Anno di presentazione del progetto","Stato del progetto","Tipologia ente","Titolo del progetto","Ruolo nel progetto","Tipologia bando"
"2024","Approvato","Nazionali","Valutazione di markers anticorpali precoci e studio della qualità della vita in fratelli di bambini con diabete tipo 1: T1DNOSI (T1D NOvara SIblings) Study","Coordinatore",""
"2025","Approvato","Nazionali","Aderenza Terapeutica nel Glaucoma: Studio Multidimensionale su Metodi di Valutazione, Prevalenza e Fattori Associati","Coordinatore",""
"2025","Approvato","Europei","Diagnosi precoce di colangite biliare primitiva (CBP) nelle donne: uno screening mirato in ospedale.","Coordinatore",""
"2024","Approvato","Nazionali","TeleRiabilitazione con interfaccia Elettromiografica e SupporTO multimediale per tumore MAMario","Coordinatore","Ricerca"
"2024","Approvato","Europei","MULTIFUNCTIONAL SELF-HEALING INJECTABLE HYDROGEL FOR CHRONIC WOUND HEALING AND TISSUE REGENERATION","Coordinatore","Ricerca"
"2024","Approvato","Regionali","Squilibri di oligoelementi in pazienti affetti da insufficienza renale cronica in dialisi (CKD): il ruolo del trattamento emodialitico come fattore ambientale (SQUIL-CKD)","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","Una tassonomia Biomolecolare, delle Biofonti e delle Bioattività per liberare il potenziale della Biodiversità attraverso una piattaforma basata sul Web","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","The role of mitochondria in cancer incidence and survival: a new paradigm in gender oncology.","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","Work Equality inCLusion wOrking tiMe","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","Safety and Training in Artificial Intelligence and RoboTics","Partner","Ricerca"
"2024","Approvato","Regionali","Produzione di microparticelle Spray Dried con Secretoma da cellule Mesenchimali per la Rigenerazione Polmonare e il wound healing","Coordinatore","Ricerca; Terza Missione"
"2024","Approvato","Nazionali","Next Generation of Biodegradable Metallic Glass Microfibers for Tissue Engineering","Coordinatore",""
"2024","Approvato","Nazionali","Sviluppo di una sonda diagnostica marcata [18F][Al-F]2+ per l'imaging PET del glioblastoma multiforme","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","Artificial Intelligence Assistant for Cultural Tourism Enhancement","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","Valutazioni precliniche di antibatterici a struttura isonitrilica contro ceppi di Staphilococcus aureus resistenti a tutti gli antibiotici","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","Approcci avanzati di fenomica e genomica per la valorizzazione di genotipi tolleranti a stress abiotici di specie erbacee di interesse agrario","Partner","Ricerca"
"2025","Approvato","Europei","Pathways, Ages, Generation in Global North and South","Partecipante","Ricerca"
"2024","Approvato","Nazionali","Teach-driven Opportunity in Cultural Consumption Patterns of the Elderly","Coordinatore","Ricerca"
