"Anno di pubblicazione","ID prodotto","Handle","Titolo","rivista: denominazione","DOI","scopus: funding funders"
"2025","210786","11579/204062","Nicotinamide: a multifaceted molecule in skin health and beyond","MEDICINA","10.3390/medicina61020254",""
"2025","211031","11579/204162","A reliable, green and fast two-step solid-phase extraction methodology for the obtention of anthocyanin-rich extracts from different sources","JOURNAL OF FOOD COMPOSITION AND ANALYSIS","10.1016/j.jfca.2025.107232",""
"2025","211033","11579/204163","Conventional and Innovative Drying/Roasting Technologies: Effect on Bioactive and Sensorial Profiles in Nuts and Nut-Based Products","APPLIED SCIENCES","10.3390/app15031258",""
"2025","211034","11579/204182","Identification and influence of soil type and urea foliar application on phenolic compounds in the red musts and wines of Tempranillo variety","FOOD AND HUMANITY","10.1016/j.foohum.2025.100506",""
"2025","211044","11579/204202","Bioaccessibility of phenolic compounds during simulated gastrointestinal digestion of black rice (Oryza sativa L., cv. Artemide)","FOOD CHEMISTRY","10.1016/j.foodchem.2025.142889",""
"2025","211464","11579/205742","Folium in Persian and Islamic Manuscripts (15th–19th Centuries): Historical Significance and Analytical Study","RESTAURATOR","10.1515/res-2024-0020",""
"2025","211644","11579/204483","Arte sui muri per salvare il pianeta. Geografie e simbologie ambientali nelle strade italiane.","","",""
"2025","211645","11579/204482","Profezie","QUESTIONE GIUSTIZIA","",""
"2025","211684","11579/204522","Perceptions of ethical decision-making climate among clinicians working in European and US ICUs: differences between religious and non-religious healthcare professionals","BMC MEDICAL ETHICS","10.1186/s12910-025-01178-5","501100006282 - Koning Boudewijnstichting; 501100006356 - Syddansk Universitet; 501100003130 - Fonds Wetenschappelijk Onderzoek;"
"2025","211824","11579/204542","Gramsci ritratto dal vero","LEFT","",""
"2025","211844","11579/204562","L'Ora, il giornalismo a schiena dritta","LEFT","",""
"2025","211886","11579/204583","Psychometric Testing of the Mutuality Scale in Patients and Caregiver Dyads After the Onset of Coronary Heart Disease","RESEARCH IN NURSING & HEALTH","10.1002/nur.22443",""
"2025","211924","11579/204602","The Utility of Smart Multiple Daily Injection Systems in Intensive Insulin-Treated People With Diabetes: An Italian Expert Consensus","JOURNAL OF DIABETES SCIENCE AND TECHNOLOGY","10.1177/19322968251316577","100004374 - Medtronic;"
"2025","211925","11579/204622","Réflexions sur le recueil d’études «Le droit étranger. Études de droit international privé comparé»","LA SEMAINE JURIDIQUE. G","",""
"2025","211945","11579/204703","Predicting Long-COVID Sequelae: A Multi-Label Classification Approach","INTELLIGENZA ARTIFICIALE","10.1177/17248035251317937",""
"2025","212104","11579/204662","Esdebitazione. Cap. I - Esdebitazione dopo la liquidazione giudiziale; Cap. II - Esdebitazione dopo la liquidazione controllata; Cap. III - Esdebitazione dell’incapiente","","",""
"2025","212165","11579/204682","Concordato preventivo: presentazione della domanda ed ammissione; provvedimenti immediati","","",""
"2025","212206","11579/204722","Hempseed Water-Soluble Protein Fraction and Its Hydrolysate Display Different Biological Features","LIFE","10.3390/life15020225","501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 501100005699 - Università degli Studi del Piemonte Orientale; 501100005699 - Università degli Studi del Piemonte Orientale;"
"2025","212244","11579/209402","Psychometric Properties and Measurement Invariance of the Patient Health Questionnaire 9 in an Italian Coronary Heart Disease Population","JOURNAL OF CARDIOVASCULAR NURSING","10.1097/JCN.0000000000001178",""
"2025","212284","11579/204742","Propolis: A Natural Substance with Multifaceted Properties and Activities","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","10.3390/ijms26041519","501100000780 - European Commission; 100007388 - Compagnia di San Paolo;"
"2025","212349","11579/204764","Trasparenza e accesso all’epoca dell’Amministrazione Pubblica digitale","","",""
"2025","212645","11579/204802","Introduzione al volume Diego Angeli tra arte e letteratura","","",""
"2025","212646","11579/204822","Diego Angeli tra arte e letteratura","","",""
"2025","212985","11579/204842","Assembling mountains through food. Typical cheese and politics of mountainness in the Italian Alps","GEOFORUM","10.1016/j.geoforum.2025.104210",""
"2025","214286","11579/204902","Maximum likelihood estimation under the Emax model: existence, geometry and efficiency","STATISTICAL PAPERS","10.1007/s00362-025-01673-2","501100005699 - Università degli Studi del Piemonte Orientale; 501100000266 - Engineering and Physical Sciences Research Council;"
"2025","214287","11579/204922","Buoni genitori. Come esperti e famiglie costruiscono la genitorialità","","",""
"2025","214436","11579/204942","Kritik und Krise: un classico alla prova della storia. A 65 anni dalla “critica utopica” di Reinhart Koselleck","","",""
"2025","214519","11579/204962","Extracellular Vesicles as a Potential Biomarker of Pulmonary Arterial Hypertension in Systemic Sclerosis","PHARMACEUTICALS","10.3390/ph18020259","501100005699 - Università degli Studi del Piemonte Orientale; 501100005699 - Università degli Studi del Piemonte Orientale; 501100000780 - European Commission; 501100000780 - European Commission;"
"2025","214679","11579/205042","Durability of blended cements containing sulfoaluminate clinker","ADVANCES IN CEMENT RESEARCH","10.1680/jadcr.23.00243",""
"2025","214753","11579/205083","Bonds","","",""
"2025","214860","11579/205084","Significant Shareholdings","","",""
